time,period,ips,ops,eps,capacity,actions,ipa,opa,epa,mininal
09:15,6,1,4,1,2,(0 1 1;1 0 1),0,1,1,"$95,48"
09:15,6,1,5,0,2,(0 2 0;1 1 0),0,2,0,"$111,85"
09:15,6,1,5,1,2,(0 1 1;1 0 1),0,1,1,"$117,31"
09:15,6,1,6,0,2,(0 2 0;1 1 0),0,2,0,"$133,68"
09:15,6,1,6,1,2,(0 1 1;1 0 1),0,1,1,"$141,86"
09:15,6,1,7,0,2,(0 2 0;1 1 0),0,2,0,"$158,23"
09:15,6,1,7,1,2,(0 1 1;1 0 1),0,1,1,"$166,42"
09:15,6,1,8,0,2,(0 2 0;1 1 0),0,2,0,"$182,78"
09:15,6,1,8,1,2,(0 1 1;1 0 1),0,1,1,"$190,97"
09:15,6,1,9,0,2,(0 2 0;1 1 0),0,2,0,"$207,34"
09:15,6,1,9,1,2,(0 1 1;1 0 1),0,1,1,"$218,25"
09:15,6,1,10,0,2,(0 2 0;1 1 0),0,2,0,"$234,62"
09:15,6,1,10,1,2,(0 1 1;1 0 1),0,1,1,"$245,53"
09:15,6,2,0,0,2,(2 0 0),2,0,0,"$32,74"
09:15,6,2,0,1,2,(1 0 1),1,0,1,"$35,47"
09:15,6,2,1,0,2,(1 1 0;2 0 0),1,1,0,"$51,83"
09:15,6,2,1,1,2,(0 1 1;1 0 1),0,1,1,"$54,56"
09:15,6,2,2,0,2,(0 2 0;1 1 0;2 0 0),0,2,0,"$70,93"
09:15,6,2,2,1,2,(0 1 1;1 0 1),0,1,1,"$73,66"
09:15,6,2,3,0,2,(0 2 0;1 1 0;2 0 0),0,2,0,"$90,03"
09:15,6,2,3,1,2,(0 1 1;1 0 1),0,1,1,"$95,48"
09:15,6,2,4,0,2,(0 2 0;1 1 0;2 0 0),0,2,0,"$111,85"
09:15,6,2,4,1,2,(0 1 1;1 0 1),0,1,1,"$117,31"
09:15,6,2,5,0,2,(0 2 0;1 1 0;2 0 0),0,2,0,"$133,68"
09:15,6,2,5,1,2,(0 1 1;1 0 1),0,1,1,"$141,86"
09:15,6,2,6,0,2,(0 2 0;1 1 0;2 0 0),0,2,0,"$158,23"
09:15,6,2,6,1,2,(0 1 1;1 0 1),0,1,1,"$166,42"
09:15,6,2,7,0,2,(0 2 0;1 1 0;2 0 0),0,2,0,"$182,78"
09:15,6,2,7,1,2,(0 1 1;1 0 1),0,1,1,"$190,97"
09:15,6,2,8,0,2,(0 2 0;1 1 0;2 0 0),0,2,0,"$207,34"
09:15,6,2,8,1,2,(0 1 1;1 0 1),0,1,1,"$218,25"
09:15,6,2,9,0,2,(0 2 0;1 1 0;2 0 0),0,2,0,"$234,62"
09:15,6,2,9,1,2,(0 1 1;1 0 1),0,1,1,"$245,53"
09:15,6,3,0,0,2,(2 0 0),2,0,0,"$51,83"
09:15,6,3,0,1,2,(1 0 1),1,0,1,"$54,56"
09:15,6,3,1,0,2,(1 1 0;2 0 0),1,1,0,"$70,93"
09:15,6,3,1,1,2,(0 1 1;1 0 1),1,0,1,"$73,66"
09:15,6,3,2,0,2,(0 2 0;1 1 0;2 0 0),1,1,0,"$90,03"
09:15,6,3,2,1,2,(0 1 1;1 0 1),0,1,1,"$95,48"
09:15,6,3,3,0,2,(0 2 0;1 1 0;2 0 0),0,2,0,"$111,85"
09:15,6,3,3,1,2,(0 1 1;1 0 1),0,1,1,"$117,31"
09:15,6,3,4,0,2,(0 2 0;1 1 0;2 0 0),0,2,0,"$133,68"
09:15,6,3,4,1,2,(0 1 1;1 0 1),0,1,1,"$141,86"
09:15,6,3,5,0,2,(0 2 0;1 1 0;2 0 0),0,2,0,"$158,23"
09:15,6,3,5,1,2,(0 1 1;1 0 1),0,1,1,"$166,42"
09:15,6,3,6,0,2,(0 2 0;1 1 0;2 0 0),0,2,0,"$182,78"
09:15,6,3,6,1,2,(0 1 1;1 0 1),0,1,1,"$190,97"
09:15,6,3,7,0,2,(0 2 0;1 1 0;2 0 0),0,2,0,"$207,34"
09:15,6,3,7,1,2,(0 1 1;1 0 1),0,1,1,"$218,25"
